TOAD,BRTH.TYP,O2LEVEL,FREQBUC,SFREQBUC
i,buccal,40, 4.2,2.0493902
i,buccal,50, 3.6,1.8973666
j,lung, 0, 3.0,1.7320508
j,lung, 5, 4.0,2.0000000
j,lung,10, 5.6,2.3664319
j,lung,15, 9.2,3.0331502
j,lung,20, 6.2,2.4899799
j,lung,30, 4.0,2.0000000
j,lung,40, 2.8,1.6733201
j,lung,50, 2.8,1.6733201
k,buccal, 0, 8.4,2.8982753
k,buccal, 5, 7.6,2.7568098
k,buccal,10,15.8,3.9749214
k,buccal,15, 5.2,2.2803509
k,buccal,20, 3.0,1.7320508
k,buccal,30, 4.2,2.0493902
k,buccal,40, 3.4,1.8439089
k,buccal,50, 2.4,1.5491933
l,buccal, 0,12.6,3.5496479
l,buccal, 5,22.2,4.7116876
l,buccal,10,13.8,3.7148351
l,buccal,15, 9.6,3.0983867
l,buccal,20, 9.4,3.0659419
l,buccal,30, 8.8,2.9664794
l,buccal,40, 5.8,2.4083189
l,buccal,50, 5.2,2.2803509
m,buccal, 0,37.4,6.1155539
m,buccal, 5,35.8,5.9833101
m,buccal,10,31.4,5.6035703
m,buccal,15,22.6,4.7539457
m,buccal,20,22.0,4.6904158
m,buccal,30,21.2,4.6043458
m,buccal,40,16.8,4.0987803
m,buccal,50,12.2,3.4928498
n,buccal, 0,31.6,5.6213877
n,buccal, 5,21.4,4.6260134
n,buccal,10, 9.8,3.1304952
n,buccal,15,10.4,3.2249031
n,buccal,20,11.4,3.3763886
n,buccal,30,17.4,4.1713307
n,buccal,40,12.2,3.4928498
n,buccal,50, 2.8,1.6733201
o,buccal, 0,28.0,5.2915026
o,buccal, 5,15.0,3.8729833
o,buccal,10,22.2,4.7116876
o,buccal,15,16.8,4.0987803
o,buccal,20,13.4,3.6606010
o,buccal,30, 9.6,3.0983867
o,buccal,40, 9.8,3.1304952
o,buccal,50, 6.4,2.5298221
p,buccal, 0,31.4,5.6035703
p,buccal, 5,44.0,6.6332496
p,buccal,10,24.0,4.8989795
p,buccal,15,40.2,6.3403470
p,buccal,20, 9.2,3.0331502
p,buccal,30,13.4,3.6606010
p,buccal,40, 9.8,3.1304952
p,buccal,50, 9.0,3.0000000
q,lung, 0, 0.0,0.0000000
q,lung, 5, 0.0,0.0000000
q,lung,10, 0.0,0.0000000
q,lung,15, 0.0,0.0000000
q,lung,20, 9.8,3.1304952
q,lung,30, 7.6,2.7568098
q,lung,40, 7.4,2.7202941
q,lung,50, 4.8,2.1908902
r,buccal, 0,16.6,4.0743098
r,buccal, 5,17.2,4.1472883
r,buccal,10,16.2,4.0249224
r,buccal,15,14.6,3.8209946
r,buccal,20, 8.4,2.8982753
r,buccal,30, 6.6,2.5690465
r,buccal,40, 4.8,2.1908902
r,buccal,50, 5.2,2.2803509
s,lung, 0,13.8,3.7148351
s,lung, 5,14.8,3.8470768
s,lung,10,18.2,4.2661458
s,lung,15,12.0,3.4641016
s,lung,20,14.2,3.7682887
s,lung,30, 9.6,3.0983867
s,lung,40, 8.6,2.9325757
s,lung,50, 7.8,2.7928480
t,lung, 0, 4.6,2.1447611
t,lung, 5,17.6,4.1952354
t,lung,10,22.4,4.7328638
t,lung,15, 8.4,2.8982753
t,lung,20, 4.4,2.0976177
t,lung,30, 3.8,1.9493589
t,lung,40, 6.4,2.5298221
t,lung,50, 3.8,1.9493589
u,lung, 0, 0.0,0.0000000
u,lung, 5, 0.0,0.0000000
u,lung,10,16.0,4.0000000
u,lung,15,13.8,3.7148351
u,lung,20, 8.6,2.9325757
u,lung,30,12.4,3.5213634
u,lung,40, 7.0,2.6457513
u,lung,50, 7.6,2.7568098
