STREAM,MAXELEV,SAMPELEV,LENGTH,AREA,NO3,TON,TN,NH4,DOC,SO4,CL,CA,MG,H,LDOC,LCL,LH,COMPON1,COMPON2,COMPON3
Buttermilk F,1076,405,2856, 183,33.1,6.2,40.6,1.4,104.4,70.8,20.6,53.3,26.3,0.50,2.018700,1.313867,-0.30103000, 0.51634878,-0.464531204, 1.57106657
Rondout,1171,454,6456,1686,23.4,3.8,26.5,1.1, 61.2,58.6,21.5,35.6,19.6,1.33,1.786751,1.332438, 0.12385164,-1.35079881, 0.007289354,-0.34397817
Kanape, 939,334,4704, 766,10.2,5.9,16.7,2.2, 40.2,59.5,25.5,60.3,30.0,0.15,1.604226,1.406540,-0.82390874, 0.25192987, 1.432459601,-1.01501057
Woodland Val,1277,425,5280,1380,18.6,6.6,25.3,2.5, 44.1,55.5,24.5,44.2,24.9,0.35,1.644439,1.389166,-0.45593196,-0.55954411, 0.902460869,-0.88745478
Broadst Holl,1180,433,4752, 996,19.5,6.8,27.1,3.3, 70.8,63.4,22.4,78.4,27.7,0.12,1.850033,1.350248,-0.92081875, 0.74880239, 0.645136589,-0.41828877
Pecoy,1161,591,2904, 290,28.0,4.5,31.9,1.9, 84.9,57.8,26.4,56.1,15.5,0.50,1.928908,1.421604,-0.30103000,-0.85079738,-0.399525360,-0.15747901
Prediger,1030,610,2688, 125,21.5,3.9,24.9,3.1, 85.1,55.1,20.5,40.8,13.8,1.14,1.929930,1.311754, 0.05690485,-1.99630908, 0.133166406,-1.39816948
Bear Pen,1076,497,2544, 209,22.6,7.7,30.8,1.7, 99.5,65.5,13.4,72.5,25.7,0.12,1.997823,1.127105,-0.92081875, 0.77809619, 0.244572012, 1.73730050
Weaver,1021,786, 960,  33,17.2,6.7,24.0,1.4, 66.1,62.7,13.0,50.3,22.2,0.37,1.820201,1.113943,-0.43179828,-0.39075310, 0.604739926, 0.71438088
BWS6, 754,512,2016, 144, 3.8,5.7,10.9,1.9, 51.3,72.1,18.7,73.4,30.1,0.17,1.710117,1.271842,-0.76955108, 0.83453577, 1.667804765,-0.40754012
Halcott,1039,555,1584, 107,20.9,6.2,27.6,2.2, 66.8,63.4,24.6,62.0,27.4,0.17,1.824776,1.390935,-0.76955108, 0.45930887, 0.571452937, 0.04951564
Tonshi, 762,293,2976, 267, 2.1,5.6, 8.3,1.7, 82.4,68.5,78.8,54.5,34.7,0.11,1.915927,1.896526,-0.95860731, 0.99058369, 2.926796720, 0.19488787
Grog Kill, 863,271,3384, 441, 3.0,7.1,10.5,2.2, 58.9,65.8,63.6,82.8,31.7,0.09,1.770115,1.803457,-1.04575749, 1.39957386, 2.591270122,-0.16169552
Hollow Tree,1137,457,3096, 492,36.1,3.9,40.4,1.9, 42.7,69.2,22.3,81.8,26.5,0.10,1.630428,1.348305,-1.00000000, 1.34473195,-1.461802475,-0.92893597
Lost Clove,1091,460,3000, 413,22.4,5.8,28.4,2.2, 45.4,66.7,18.6,70.4,28.8,0.16,1.657056,1.269513,-0.79588002, 0.82046149, 0.129694226,-0.57383819
Black,1137,683,4416, 376,34.4,2.8,36.0,1.4, 49.5,59.3,14.9,68.6,18.7,0.13,1.694605,1.173186,-0.88605665,-0.09385814,-1.686552269,-0.90668661
Styles,1186,576,3840, 395,31.8,5.5,37.7,0.8, 83.3,61.1,17.8,69.4,22.5,0.20,1.920645,1.250420,-0.69897000, 0.37342612,-0.851348743, 1.33214295
Warners,1173,418,8328,1835,21.6,3.6,25.3,1.4, 65.4,62.1,34.4,76.8,24.6,0.10,1.815578,1.536558,-1.00000000, 0.61497110, 0.024215901,-0.37811537
Kittle, 957,567,1800,  63,32.2,4.4,36.4,2.2, 66.2,70.4,24.4,82.5,25.6,0.16,1.820858,1.387390,-0.79588002, 1.12695874,-0.886256785,-0.38119340
Traver Hollo, 887,311,3000, 604,16.2,4.6,21.3,1.1, 57.5,62.1,21.9,67.9,22.8,0.13,1.759668,1.340444,-0.88605665, 0.21042179, 0.388841261,-0.06360582
Willowemoc, 983,607,5472, 915,19.8,3.2,22.8,1.4, 42.7,64.6,16.4,75.5,16.5,0.18,1.630428,1.214844,-0.74472749,-0.09601420,-0.521492302,-1.25420419
Myrtle,1219,475,4320, 476,17.4,3.6,22.3,2.5, 42.9,61.4,21.0,63.4,19.2,0.14,1.632457,1.322219,-0.85387196,-0.31301405, 0.047795862,-1.96804537
Becker Hollo,1231,588,2664, 376,26.9,4.7,30.0,2.5, 55.8,56.9,20.9,58.6,18.2,0.16,1.746634,1.320146,-0.79588002,-0.47842580,-0.395122813,-1.10625231
